Hit@1,Hit@5,Hit@10,Hit@20,MRR,Recall@1,Recall@5,Recall@10,Recall@20,DR@20,Diversity_Count,latency,method,query_id,gt_count,seed,query_complexity
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09612560272216797,GraphFlow,q_0,2,42,Simple (<=3 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.2,0.2,2,0.089691162109375,GraphFlow,q_1,10,42,Complex (>6 GT)
0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.1,0.1,0.1,1,0.09555864334106445,GraphFlow,q_2,10,42,Complex (>6 GT)
0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.1,0.1,0.1,1,0.08917355537414551,GraphFlow,q_3,10,42,Complex (>6 GT)
0.0,0.0,1.0,1.0,0.125,0.0,0.0,0.1,0.1,0.1,1,0.10139036178588867,GraphFlow,q_4,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.2,0.2,0.2,0.2,2,0.09305095672607422,GraphFlow,q_5,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,1,0.09354162216186523,GraphFlow,q_6,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.2,0.3,0.3,3,0.09257388114929199,GraphFlow,q_7,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.2,0.3,0.3,0.3,3,0.10254359245300293,GraphFlow,q_8,10,42,Complex (>6 GT)
0.0,0.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.1,0.1,0.1,1,0.08306598663330078,GraphFlow,q_9,10,42,Complex (>6 GT)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0800478458404541,GraphFlow,q_10,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.2,0.2,2,0.09202790260314941,GraphFlow,q_11,10,42,Complex (>6 GT)
0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.1,0.1,1,0.08855700492858887,GraphFlow,q_12,10,42,Complex (>6 GT)
0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.2,0.2,2,0.08702373504638672,GraphFlow,q_13,10,42,Complex (>6 GT)
0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.1,0.2,0.2,2,0.08958911895751953,GraphFlow,q_14,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,1,0.08302187919616699,GraphFlow,q_15,10,42,Complex (>6 GT)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0885918140411377,GraphFlow,q_16,2,42,Simple (<=3 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,1,0.08853745460510254,GraphFlow,q_17,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.2,0.2,0.2,0.2,2,0.09206867218017578,GraphFlow,q_18,10,42,Complex (>6 GT)
0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.1,0.1,1,0.08604836463928223,GraphFlow,q_19,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.2,0.3,0.3,3,0.08902645111083984,GraphFlow,q_20,10,42,Complex (>6 GT)
0.0,0.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.1,0.1,0.1,1,0.09055256843566895,GraphFlow,q_21,10,42,Complex (>6 GT)
1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,1,0.09002280235290527,GraphFlow,q_22,10,42,Complex (>6 GT)
0.0,1.0,1.0,1.0,0.25,0.0,0.1,0.2,0.2,0.2,2,0.08855485916137695,GraphFlow,q_23,10,42,Complex (>6 GT)
